Title,Author,NarratedBy,RunTime,ReleaseDate,Language,Ratings
Things We Left Behind,Lucy Score,"Lila Winters,Sebastian York",Length: 19 hrs and 14 mins,"Release date:
                                    09-05-23
                                  ","Language:
                                      English
                                    ",5 out of 5 stars
The Josiah Manifesto,Jonathan Cahn,Lawrence Richardson,Length: 8 hrs and 47 mins,"Release date:
                                    09-05-23
                                  ","Language:
                                      English
                                    ",4.5 out of 5 stars
Holly,Stephen King,"Justine Lupe,Stephen King",Length: 15 hrs and 24 mins,"Release date:
                                    09-05-23
                                  ","Language:
                                      English
                                    ",3 out of 5 stars
Payback in Death,J. D. Robb,Susan Ericksen,Length: 13 hrs and 54 mins,"Release date:
                                    09-05-23
                                  ","Language:
                                      English
                                    ",5 out of 5 stars
The Untitled Books,C.J. Archer,Marian Hussey,Length: 7 hrs and 59 mins,"Release date:
                                    08-25-23
                                  ","Language:
                                      English
                                    ",4.5 out of 5 stars
Warriorborn: A Cinder Spires Novella,Jim Butcher,Euan Morton,Length: 3 hrs and 1 min,"Release date:
                                    09-19-23
                                  ","Language:
                                      English
                                    ",Not rated yet
The Coming Wave,Mustafa Suleyman,Mustafa Suleyman,Length: 11 hrs and 48 mins,"Release date:
                                    09-05-23
                                  ","Language:
                                      English
                                    ",5 out of 5 stars
The Eye of the Bedlam Bride,Matt Dinniman,"Jeff Hays,Patrick Warburton,Travis Baldree,Annie Ellicott",Length: 26 hrs and 46 mins,"Release date:
                                    09-01-23
                                  ","Language:
                                      English
                                    ",5 out of 5 stars
The 32 Principles,Rener Gracie,Rener Gracie,Length: 8 hrs and 18 mins,"Release date:
                                    08-22-23
                                  ","Language:
                                      English
                                    ",3.5 out of 5 stars
God of Ruin,Rina Kent,"Shane East,Mackenzie Cartwright",Length: 14 hrs and 4 mins,"Release date:
                                    08-31-23
                                  ","Language:
                                      English
                                    ",5 out of 5 stars
Behind the Doors of Justice,Rebecca H. Hill,Rebecca H. Hill,Length: 4 hrs and 31 mins,"Release date:
                                    08-24-23
                                  ","Language:
                                      English
                                    ",1 out of 5 stars
Reframe Your Brain,Scott Adams,Andrew Baldwin,Length: 7 hrs and 33 mins,"Release date:
                                    08-24-23
                                  ","Language:
                                      English
                                    ",5 out of 5 stars
Elon Musk,Walter Isaacson,"Jeremy Bobb,Walter Isaacson",Length: 20 hrs and 27 mins,"Release date:
                                    09-12-23
                                  ","Language:
                                      English
                                    ",Not rated yet
The Woman in Me,Britney Spears,,Length: 7 hrs,"Release date:
                                    10-24-23
                                  ","Language:
                                      English
                                    ",Not rated yet
The Fireground,Dervla McTiernan,"Ben Chapple,Harriet Gordon-Anderson",Length: 7 hrs and 55 mins,"Release date:
                                    09-05-23
                                  ","Language:
                                      English
                                    ",3.5 out of 5 stars
Tom Clancy Weapons Grade,Don Bentley,Scott Brick,Length: 14 hrs and 23 mins,"Release date:
                                    09-05-23
                                  ","Language:
                                      English
                                    ",4.5 out of 5 stars
Reverse,Kate Stewart,"Joe Arden,Maxine Mitchell",Length: 22 hrs and 6 mins,"Release date:
                                    09-05-23
                                  ","Language:
                                      English
                                    ",5 out of 5 stars
Murtagh,Christopher Paolini,"Gerard Doyle,Christopher Paolini",Length: 18 hrs,"Release date:
                                    11-07-23
                                  ","Language:
                                      English
                                    ",Not rated yet
The River We Remember,William Kent Krueger,CJ Wilson,Length: 13 hrs and 33 mins,"Release date:
                                    09-05-23
                                  ","Language:
                                      English
                                    ",Not rated yet
Mother-Daughter Murder Night,Nina Simon,Jane Oppenheimer,Length: 12 hrs and 38 mins,"Release date:
                                    09-05-23
                                  ","Language:
                                      English
                                    ",1 out of 5 stars
Iron Flame,Rebecca Yarros,"Rebecca Soler,Teddy Hamilton",Length: 14 hrs and 15 mins,"Release date:
                                    11-07-23
                                  ","Language:
                                      English
                                    ",Not rated yet
First Strike,Craig Alanson,R.C. Bray,Length: 16 hrs and 37 mins,"Release date:
                                    09-05-23
                                  ","Language:
                                      English
                                    ",4 out of 5 stars
House of Flame and Shadow,Sarah J. Maas,Elizabeth Evans,Length: Not Yet Known,"Release date:
                                    01-30-24
                                  ","Language:
                                      English
                                    ",Not rated yet
Jackson,Neven Iliev,"Jeff Hays,Annie Ellicott,Dorrie Sacks,Justin James,Laurie Winkel,Alejandra LaFlor,Lucky Byfleet,Gary Furlong,Will Watt",Length: 18 hrs and 1 min,"Release date:
                                    08-25-23
                                  ","Language:
                                      English
                                    ",5 out of 5 stars
Code Red,Vince Flynn,Steven Weber,Length: 9 hrs and 26 mins,"Release date:
                                    09-12-23
                                  ","Language:
                                      English
                                    ",Not rated yet
Preceptor,Terry Mancour,John Lee,Length: 22 hrs and 13 mins,"Release date:
                                    11-21-23
                                  ","Language:
                                      English
                                    ",Not rated yet
$100M Leads,Alex Hormozi,Alex Hormozi,Length: 6 hrs,"Release date:
                                    08-20-23
                                  ","Language:
                                      English
                                    ",5 out of 5 stars
The Last Politician,Franklin Foer,"Sean Patrick Hopkins,Franklin Foer",Length: 12 hrs and 10 mins,"Release date:
                                    09-05-23
                                  ","Language:
                                      English
                                    ",1 out of 5 stars
Small and Mighty Real Estate Investor,Chad Carson,Ryan Duncan,Length: 13 hrs and 10 mins,"Release date:
                                    08-16-23
                                  ","Language:
                                      English
                                    ",5 out of 5 stars
Magical Midlife Battle,K.F. Breene,Nicole Poole,Length: 12 hrs and 43 mins,"Release date:
                                    09-19-23
                                  ","Language:
                                      English
                                    ",Not rated yet
"Sure, I'll Join Your Cult",Maria Bamford,Maria Bamford,Length: 7 hrs and 40 mins,"Release date:
                                    09-05-23
                                  ","Language:
                                      English
                                    ",5 out of 5 stars
The Longmire Defense,Craig Johnson,George Guidall,Length: 9 hrs and 43 mins,"Release date:
                                    09-05-23
                                  ","Language:
                                      English
                                    ",4.5 out of 5 stars
Tucker,Chadwick Moore,Chadwick Moore,Length: 5 hrs and 47 mins,"Release date:
                                    07-31-23
                                  ","Language:
                                      English
                                    ",4.5 out of 5 stars
Mimic & Me,Cassius Lange,"Ryan H. Reid,Dorrie Sacks,Jeff Hays",Length: 16 hrs and 57 mins,"Release date:
                                    08-16-23
                                  ","Language:
                                      English
                                    ",4.5 out of 5 stars
Dr. CEO,Louise Bay,"Sebastian York,Clare Corbett",Length: 7 hrs and 48 mins,"Release date:
                                    08-31-23
                                  ","Language:
                                      English
                                    ",4.5 out of 5 stars
The Essential Guide to Intermittent Fasting for Women,Megan Ramos,Caitlin Davies,Length: 7 hrs and 49 mins,"Release date:
                                    08-15-23
                                  ","Language:
                                      English
                                    ",5 out of 5 stars
Percy Jackson and the Olympians: The Chalice of the Gods,Rick Riordan,Jesse Bernstein,Length: Not Yet Known,"Release date:
                                    09-26-23
                                  ","Language:
                                      English
                                    ",Not rated yet
Shattered Truths,H. Hunting,"Zachary Webber,Andi Arndt",Length: 10 hrs and 52 mins,"Release date:
                                    08-28-23
                                  ","Language:
                                      English
                                    ",4.5 out of 5 stars
Amazing Grace Adams,Fran Littlewood,Claire Skinner,Length: 9 hrs and 51 mins,"Release date:
                                    09-05-23
                                  ","Language:
                                      English
                                    ",5 out of 5 stars
Elevate,Tommy Mello,Tommy Mello,Length: 4 hrs and 25 mins,"Release date:
                                    08-17-23
                                  ","Language:
                                      English
                                    ",5 out of 5 stars
The Fraud,Zadie Smith,Zadie Smith,Length: 12 hrs and 26 mins,"Release date:
                                    09-05-23
                                  ","Language:
                                      English
                                    ",Not rated yet
Dante,Sadie Kincaid,"Elena Wolfe,Tor Thom",Length: 9 hrs and 20 mins,"Release date:
                                    08-22-23
                                  ","Language:
                                      English
                                    ",5 out of 5 stars
Cognac Villain,Nicole Fox,"Hayden Hall,Walker Williams",Length: 11 hrs and 49 mins,"Release date:
                                    08-09-23
                                  ","Language:
                                      English
                                    ",4.5 out of 5 stars
We Want Them Infected,Jonathan Howard,Chet Williamson,Length: 17 hrs and 45 mins,"Release date:
                                    08-15-23
                                  ","Language:
                                      English
                                    ",5 out of 5 stars
Master of Change,Brad Stulberg,Will Damron,Length: 6 hrs and 43 mins,"Release date:
                                    09-05-23
                                  ","Language:
                                      English
                                    ",3.5 out of 5 stars
I Found Puppets Living in My Apartment Walls,Ben Farthing,Aaron Camacho,Length: 3 hrs and 22 mins,"Release date:
                                    08-14-23
                                  ","Language:
                                      English
                                    ",4.5 out of 5 stars
The Raging Storm,Ann Cleeves,Jack Holden,Length: 9 hrs and 47 mins,"Release date:
                                    09-05-23
                                  ","Language:
                                      English
                                    ",3.5 out of 5 stars
Learn Mexican Spanish in Your Car Like Never Before!,Jackson Bennett,Phree Norde,Length: 1 hr and 33 mins,"Release date:
                                    08-03-23
                                  ","Language:
                                      Spanish
                                    ",4.5 out of 5 stars
Talking to My Angels,Melissa Etheridge,Melissa Etheridge,Length: 6 hrs and 36 mins,"Release date:
                                    09-05-23
                                  ","Language:
                                      English
                                    ",5 out of 5 stars
"Not Forever, but for Now",Chuck Palahniuk,Raphael Corkhill,Length: 8 hrs and 37 mins,"Release date:
                                    09-05-23
                                  ","Language:
                                      English
                                    ",4 out of 5 stars
I Could Never,Penelope Ward,"Andi Arndt,Sebastian York",Length: 8 hrs and 2 mins,"Release date:
                                    08-21-23
                                  ","Language:
                                      English
                                    ",5 out of 5 stars
The Coworker,Freida McFadden,Alyson Krawchuk,Length: 8 hrs and 12 mins,"Release date:
                                    08-29-23
                                  ","Language:
                                      English
                                    ",4 out of 5 stars
Dungeon Diving 101,Bruce Sentar,"Lewis Alexander,Rozelyn Rader",Length: 11 hrs and 21 mins,"Release date:
                                    08-21-23
                                  ","Language:
                                      English
                                    ",4.5 out of 5 stars
Kingdom Focus,Tony Evans,B. Lipton Bennet,Length: 6 hrs and 38 mins,"Release date:
                                    09-05-23
                                  ","Language:
                                      English
                                    ",Not rated yet
The Lost Clone,Vaughn Heppner,Mark Boyett,Length: 13 hrs and 36 mins,"Release date:
                                    08-28-23
                                  ","Language:
                                      English
                                    ",3.5 out of 5 stars
Love and Tequila Make Her Crazy,Brittanee Nicole,"Hannah Chiclana,Edward Black",Length: 12 hrs and 1 min,"Release date:
                                    08-18-23
                                  ","Language:
                                      English
                                    ",5 out of 5 stars
Making It So,Patrick Stewart,Patrick Stewart,Length: 16 hrs and 30 mins,"Release date:
                                    10-03-23
                                  ","Language:
                                      English
                                    ",Not rated yet
Battlefield Cyber,Michael G. McLaughlin,Steve Menasche,Length: 10 hrs and 47 mins,"Release date:
                                    08-15-23
                                  ","Language:
                                      English
                                    ",Not rated yet
Imperial Wizard,J Parsons,"Matt Hicks,Melissa Green",Length: 13 hrs and 38 mins,"Release date:
                                    08-25-23
                                  ","Language:
                                      English
                                    ",4.5 out of 5 stars
Limits,Susie Tate,Emma Heap,Length: 9 hrs and 38 mins,"Release date:
                                    08-09-23
                                  ","Language:
                                      English
                                    ",Not rated yet
Clive Cussler Condor's Fury,Graham Brown,Scott Brick,Length: 12 hrs and 56 mins,"Release date:
                                    09-05-23
                                  ","Language:
                                      English
                                    ",Not rated yet
From Object to Icon,Andrew Williams,Andrew Williams,Length: 6 hrs and 37 mins,"Release date:
                                    08-16-23
                                  ","Language:
                                      English
                                    ",5 out of 5 stars
How to Help Your Child Clean Up Their Mental Mess,Caroline Leaf,Caroline Leaf,Length: 5 hrs and 25 mins,"Release date:
                                    08-08-23
                                  ","Language:
                                      English
                                    ",3 out of 5 stars
The Seven Spirits of God,Chris Reed,Lee Alan,Length: 5 hrs and 43 mins,"Release date:
                                    08-18-23
                                  ","Language:
                                      English
                                    ",Not rated yet
Journey,Timothy Nugent,Henry Schrader,Length: 8 hrs and 55 mins,"Release date:
                                    08-16-23
                                  ","Language:
                                      English
                                    ",4.5 out of 5 stars
A Fire at the Exhibition,T E Kinsey,Elizabeth Knowelden,Length: 9 hrs and 21 mins,"Release date:
                                    09-05-23
                                  ","Language:
                                      English
                                    ",5 out of 5 stars
Sleep No More,Seanan McGuire,Mary Robinette Kowal,Length: 12 hrs and 39 mins,"Release date:
                                    09-05-23
                                  ","Language:
                                      English
                                    ",5 out of 5 stars
The Running Grave,Robert Galbraith,Robert Glenister,Length: 34 hrs and 14 mins,"Release date:
                                    09-26-23
                                  ","Language:
                                      English
                                    ",Not rated yet
The Gilded Lily,Irina Shapiro,Jess Nahikian,Length: 8 hrs and 58 mins,"Release date:
                                    08-18-23
                                  ","Language:
                                      English
                                    ",5 out of 5 stars
Crone Cold Dead,Amanda M. Lee,Meghan Kelly,Length: 8 hrs and 41 mins,"Release date:
                                    08-28-23
                                  ","Language:
                                      English
                                    ",4.5 out of 5 stars
Judgment Prey,John Sandford,Robert Petkoff,Length: 11 hrs,"Release date:
                                    10-03-23
                                  ","Language:
                                      English
                                    ",Not rated yet
The Tease,Lauren Blakely,"Vanessa Edwin,Jason Clarke",Length: 9 hrs and 16 mins,"Release date:
                                    08-30-23
                                  ","Language:
                                      English
                                    ",5 out of 5 stars
After She Fled,J. R. Erickson,Angie Tripp,Length: 9 hrs and 34 mins,"Release date:
                                    08-22-23
                                  ","Language:
                                      English
                                    ",5 out of 5 stars
